	Topologies Networks		
T	Tree Net	Distr Net	Hyper Net
0	1	1	1
0,001	0,803766	0,999947	0,999947
0,002	0,64604	0,999893	0,999893
0,003	0,519265	0,99984	0,99984
0,004	0,417368	0,999787	0,999787
0,005	0,335466	0,999733	0,999733
…	…	…	…
0,995	0	0,948317	0,947109
0,996	0	0,948266	0,947056
0,997	0	0,948216	0,947003
0,998	0	0,948165	0,94695
0,999	0	0,948115	0,946897
